Start_Date,Start_Hour,Start_Minute,End_Date,End_Hour,End_Minute,Month,Year,Category,Start,Stop,Miles,Purpose,Duration,Speed,Day,Day_Time
2025-01-12,15,42,2025-01-12,15,54,Jan,2025,Business,Hell's Kitchen,Midtown,3.22,Errand/Supplies,12,16.0934,Tuesday,Afternoon
2025-01-12,16,2,2025-01-12,17,0,Jan,2025,Business,New York,Queens County,24.30,Meeting,58,25.13900069,Tuesday,Afternoon
2025-01-13,13,54,2025-01-13,14,7,Jan,2025,Business,Downtown,Gulfton,18.02,Meeting,13,83.19049846,Wednesday,Afternoon
2025-01-13,15,0,2025-01-13,15,28,Jan,2025,Business,Gulfton,Downtown,18.99,Meeting,28,40.69331143,Wednesday,Afternoon
2025-01-14,16,29,2025-01-14,17,5,Jan,2025,Business,Houston,Houston,35.24,Customer Visit,36,58.74091,Thursday,Afternoon
2025-01-14,21,39,2025-01-14,21,45,Jan,2025,Business,Eagan Park,Jamestown Court,6.28,Errand/Supplies,6,62.76426,Thursday,Evening
2025-01-15,0,41,2025-01-15,1,1,Jan,2025,Business,Morrisville,Cary,12.87,Errand/Supplies,20,38.62416,Friday,Night
2025-01-15,11,43,2025-01-15,12,3,Jan,2025,Business,Cary,Durham,16.74,Meal/Entertain,20,50.211408,Friday,Morning
2025-01-15,13,26,2025-01-15,13,44,Jan,2025,Business,Durham,Cary,16.74,Meal/Entertain,18,55.79045333,Friday,Afternoon
2025-01-18,14,55,2025-01-18,15,6,Jan,2025,Business,Cary,Cary,7.72,Meal/Entertain,11,42.13544727,Monday,Afternoon
2025-01-18,16,13,2025-01-18,16,24,Jan,2025,Business,Farmington Woods,Whitebridge,7.56,Meal/Entertain,11,41.25762545,Monday,Afternoon
2025-01-19,9,9,2025-01-19,9,23,Jan,2025,Business,Whitebridge,Lake Wellingborough,11.59,Meal/Entertain,14,49.65963429,Tuesday,Morning
2025-01-19,10,55,2025-01-19,11,9,Jan,2025,Business,Lake Wellingborough,Whitebridge,12.23,Temporary Site,14,52.41850286,Tuesday,Morning
2025-01-20,10,36,2025-01-20,11,11,Jan,2025,Business,Cary,Raleigh,27.52,Meeting,35,47.17665257,Wednesday,Morning
2025-01-20,11,48,2025-01-20,12,19,Jan,2025,Business,Fayetteville Street,Umstead,24.30,Meeting,31,47.03425935,Wednesday,Morning
2025-01-20,13,25,2025-01-20,14,19,Jan,2025,Business,Raleigh,Cary,64.70,Customer Visit,54,71.88385333,Wednesday,Afternoon
2025-01-21,14,25,2025-01-21,14,29,Jan,2025,Business,Cary,Cary,2.57,Errand/Supplies,4,38.62416,Thursday,Afternoon
2025-01-21,14,43,2025-01-21,14,51,Jan,2025,Business,Cary,Cary,3.86,Meal/Entertain,8,28.96812,Thursday,Afternoon
2025-01-21,16,1,2025-01-21,16,6,Jan,2025,Business,Cary,Cary,1.61,Meal/Entertain,5,19.31208,Thursday,Afternoon
2025-01-26,10,41,2025-01-26,10,50,Jan,2025,Business,Whitebridge,Hazelwood,3.22,Meal/Entertain,9,21.45786667,Tuesday,Morning
2025-01-26,12,33,2025-01-26,12,41,Jan,2025,Business,Hazelwood,Whitebridge,3.70,Errand/Supplies,8,27.761115,Tuesday,Morning
2025-01-26,16,24,2025-01-26,16,32,Jan,2025,Business,Whitebridge,Westpark Place,3.06,Errand/Supplies,8,22.933095,Tuesday,Afternoon
2025-01-26,17,17,2025-01-26,17,22,Jan,2025,Business,Cary,Cary,2.25,Errand/Supplies,5,27.036912,Tuesday,Afternoon
2025-01-26,17,27,2025-01-26,17,29,Jan,2025,Business,Cary,Cary,0.80,Errand/Supplies,2,24.1401,Tuesday,Afternoon
2025-01-27,9,24,2025-01-27,9,31,Jan,2025,Business,Cary,Cary,2.90,Meeting,7,24.82981714,Wednesday,Morning
2025-01-27,10,19,2025-01-27,10,48,Jan,2025,Business,Cary,Raleigh,30.09,Customer Visit,29,62.26480966,Wednesday,Morning
2025-01-27,12,34,2025-01-27,12,44,Jan,2025,Business,Fairmont,Meredith Townes,5.47,Customer Visit,10,32.830536,Wednesday,Morning
2025-01-27,14,5,2025-01-27,14,13,Jan,2025,Business,Raleigh,Raleigh,4.35,Customer Visit,8,32.589135,Wednesday,Afternoon
2025-01-27,14,46,2025-01-27,15,8,Jan,2025,Business,Raleigh,Cary,20.76,Customer Visit,22,56.61950727,Wednesday,Afternoon
2025-01-28,12,28,2025-01-28,13,0,Jan,2025,Business,Cary,Raleigh,30.58,Temporary Site,32,57.3327375,Thursday,Morning
2025-01-28,15,11,2025-01-28,15,31,Jan,2025,Business,Meredith Townes,Leesville Hollow,23.66,Meeting,20,70.971894,Thursday,Afternoon
2025-01-28,16,21,2025-01-28,16,51,Jan,2025,Business,Raleigh,Cary,25.27,Meeting,30,50.533276,Thursday,Afternoon
2025-01-29,9,31,2025-01-29,9,45,Jan,2025,Business,Cary,Cary,7.40,Customer Visit,14,31.72698857,Friday,Morning
2025-01-29,10,56,2025-01-29,11,7,Jan,2025,Business,Cary,Cary,8.37,Meeting,11,45.64673455,Friday,Morning
2025-01-29,11,43,2025-01-29,12,3,Jan,2025,Business,Cary,Durham,16.74,Meeting,20,50.211408,Friday,Morning
2025-01-29,13,24,2025-01-29,13,47,Jan,2025,Business,Durham,Cary,16.25,Meeting,23,42.40261043,Friday,Afternoon
2025-01-29,18,31,2025-01-29,18,52,Jan,2025,Business,Cary,Apex,9.33,Errand/Supplies,21,26.66906286,Friday,Afternoon
2025-01-29,21,21,2025-01-29,21,40,Jan,2025,Business,Apex,Cary,8.85,Meal/Entertain,19,27.95169474,Friday,Evening
2025-01-30,16,21,2025-01-30,16,33,Jan,2025,Business,Cary,Apex,9.17,Errand/Supplies,12,45.86619,Saturday,Afternoon
2025-01-30,18,9,2025-01-30,18,24,Jan,2025,Business,Apex,Cary,9.17,Customer Visit,15,36.692952,Saturday,Afternoon
2025-02-01,10,35,2025-02-01,11,15,Feb,2025,Business,Cary,Chapel Hill,31.22,Customer Visit,40,46.831794,Monday,Morning
2025-02-01,12,10,2025-02-01,12,43,Feb,2025,Business,Chapel Hill,Cary,37.50,Customer Visit,33,68.17749455,Monday,Morning
2025-02-01,12,56,2025-02-01,13,7,Feb,2025,Business,Northwoods,Whitebridge,6.28,Meal/Entertain,11,34.23505091,Monday,Morning
2025-02-02,13,4,2025-02-02,13,23,Feb,2025,Business,Whitebridge,Williamsburg Manor,13.36,Meeting,19,42.18164842,Tuesday,Afternoon
2025-02-02,13,51,2025-02-02,14,6,Feb,2025,Business,Cary,Cary,9.66,Errand/Supplies,15,38.62416,Tuesday,Afternoon
2025-02-02,14,38,2025-02-02,14,42,Feb,2025,Business,Cary,Cary,2.57,Errand/Supplies,4,38.62416,Tuesday,Afternoon
2025-02-04,8,40,2025-02-04,9,1,Feb,2025,Business,Cary,Morrisville,8.37,Errand/Supplies,21,23.91019429,Thursday,Morning
2025-02-04,9,37,2025-02-04,10,9,Feb,2025,Business,Morrisville,Cary,15.61,Meal/Entertain,32,29.26987125,Thursday,Morning
2025-02-04,10,26,2025-02-04,10,32,Feb,2025,Business,Cary,Cary,2.57,Meal/Entertain,6,25.74944,Thursday,Morning
2025-02-04,15,59,2025-02-04,16,3,Feb,2025,Business,Cary,Cary,1.77,Meal/Entertain,4,26.55411,Thursday,Afternoon
2025-02-04,16,35,2025-02-04,16,39,Feb,2025,Business,Cary,Cary,2.57,Meal/Entertain,4,38.62416,Thursday,Afternoon
2025-02-04,18,4,2025-02-04,18,31,Feb,2025,Business,Whitebridge,Macgregor Downs,14.48,Meeting,27,32.1868,Thursday,Afternoon
2025-02-04,20,36,2025-02-04,20,55,Feb,2025,Business,Cary,Cary,12.39,Meeting,19,39.13237263,Thursday,Evening
2025-02-05,11,47,2025-02-05,12,7,Feb,2025,Business,Cary,Durham,16.74,Meeting,20,50.211408,Friday,Morning
2025-02-05,13,22,2025-02-05,13,41,Feb,2025,Business,Durham,Cary,16.74,Meeting,19,52.85411368,Friday,Afternoon
2025-02-06,16,20,2025-02-06,16,53,Feb,2025,Business,Cary,Raleigh,18.35,Between Offices,33,33.35722909,Saturday,Afternoon
2025-02-06,18,57,2025-02-06,19,21,Feb,2025,Business,Raleigh,Cary,14.48,Errand/Supplies,24,36.21015,Saturday,Afternoon
2025-02-06,19,28,2025-02-06,19,37,Feb,2025,Business,Edgehill Farms,Whitebridge,5.15,Meal/Entertain,9,34.33258667,Saturday,Evening
2025-02-07,16,49,2025-02-07,17,1,Feb,2025,Business,Cary,Apex,9.01,Errand/Supplies,12,45.06152,Sunday,Afternoon
2025-02-07,18,3,2025-02-07,18,17,Feb,2025,Business,Apex,Cary,9.17,Customer Visit,14,39.31387714,Sunday,Afternoon
2025-02-07,18,39,2025-02-07,18,53,Feb,2025,Business,Cary,Morrisville,9.82,Temporary Site,14,42.07274571,Sunday,Afternoon
2025-02-07,20,22,2025-02-07,20,40,Feb,2025,Business,Morrisville,Cary,9.82,Meeting,18,32.72324667,Sunday,Evening
2025-02-08,12,57,2025-02-08,13,8,Feb,2025,Business,Whitebridge,Edgehill Farms,6.92,Meal/Entertain,11,37.74633818,Monday,Morning
2025-02-08,14,0,2025-02-08,14,10,Feb,2025,Business,Edgehill Farms,Whitebridge,4.35,Meal/Entertain,10,26.071308,Monday,Afternoon
2025-02-09,10,54,2025-02-09,11,7,Feb,2025,Personal,Whitebridge,Northwoods,8.53,Meal/Entertain,13,39.36693231,Tuesday,Morning
2025-02-09,11,43,2025-02-09,11,50,Feb,2025,Personal,Northwoods,Tanglewood,4.83,Meal/Entertain,7,41.38302857,Tuesday,Morning
2025-02-09,13,36,2025-02-09,13,52,Feb,2025,Personal,Tanglewood,Preston,8.21,Meal/Entertain,16,30.7786275,Tuesday,Afternoon
2025-02-09,13,58,2025-02-09,14,2,Feb,2025,Personal,Preston,Whitebridge,2.41,Meal/Entertain,4,36.21015,Tuesday,Afternoon
2025-02-09,18,55,2025-02-09,19,11,Feb,2025,Business,Cary,Morrisville,9.82,Meal/Entertain,16,36.8136525,Tuesday,Afternoon
2025-02-09,20,24,2025-02-09,20,40,Feb,2025,Business,Morrisville,Cary,9.82,Meal/Entertain,16,36.8136525,Tuesday,Evening
2025-02-11,16,28,2025-02-11,17,10,Feb,2025,Business,Cary,Raleigh,27.84,Meal/Entertain,42,39.77368857,Thursday,Afternoon
2025-02-11,17,49,2025-02-11,18,10,Feb,2025,Business,Eastgate,Walnut Terrace,9.17,Meal/Entertain,21,26.20925143,Thursday,Afternoon
2025-02-11,18,24,2025-02-11,18,46,Feb,2025,Business,Raleigh,Morrisville,21.73,Temporary Site,22,59.25297273,Thursday,Afternoon
2025-02-11,20,36,2025-02-11,20,51,Feb,2025,Business,Morrisville,Cary,9.82,Temporary Site,15,39.267896,Thursday,Evening
2025-02-12,8,21,2025-02-12,8,42,Feb,2025,Business,Cary,Durham,13.68,Temporary Site,21,39.08397143,Friday,Morning
2025-02-12,10,45,2025-02-12,10,52,Feb,2025,Business,Durham,Morrisville,4.18,Temporary Site,7,35.86529143,Friday,Morning
2025-02-12,11,14,2025-02-12,11,35,Feb,2025,Business,Morrisville,Raleigh,27.36,Customer Visit,21,78.16794286,Friday,Morning
2025-02-12,13,2,2025-02-12,13,36,Feb,2025,Business,Raleigh,Cary,28.97,Meeting,34,51.12021176,Friday,Afternoon
2025-02-12,14,49,2025-02-12,15,6,Feb,2025,Business,Cary,Morrisville,13.52,Meeting,17,47.71219765,Friday,Afternoon
2025-02-12,15,33,2025-02-12,16,6,Feb,2025,Business,Morrisville,Cary,18.51,Customer Visit,33,33.64983636,Friday,Afternoon
2025-02-13,14,21,2025-02-13,14,41,Feb,2025,Business,Cary,Morrisville,14.32,Meeting,20,42.969378,Saturday,Afternoon
2025-02-14,0,50,2025-02-14,1,0,Feb,2025,Personal,Jackson Heights,East Elmhurst,2.90,Meeting,10,17.380872,Sunday,Night
2025-02-14,14,7,2025-02-14,14,40,Feb,2025,Business,East Elmhurst,New York,13.04,Meeting,33,23.70118909,Sunday,Afternoon
2025-02-14,14,46,2025-02-14,15,3,Feb,2025,Business,Midtown,Midtown West,3.22,Meeting,17,11.36004706,Sunday,Afternoon
2025-02-14,16,35,2025-02-14,17,2,Feb,2025,Business,New York,Long Island City,20.92,Meeting,27,46.49204444,Sunday,Afternoon
2025-02-14,17,6,2025-02-14,17,29,Feb,2025,Business,Long Island City,Jamaica,22.37,Meeting,23,58.35606783,Sunday,Afternoon
2025-02-16,3,21,2025-02-16,4,13,Feb,2025,Business,Katunayaka,Unknown Location,70.33,Customer Visit,52,81.14787462,Tuesday,Night
2025-02-16,8,29,2025-02-16,9,34,Feb,2025,Business,Unknown Location,Colombo,22.69,Customer Visit,65,20.94617908,Tuesday,Morning
2025-02-16,10,31,2025-02-16,10,41,Feb,2025,Business,Colombo,Colombo,4.18,Customer Visit,10,25.105704,Tuesday,Morning
2025-02-16,11,32,2025-02-16,12,2,Feb,2025,Business,Colombo,Colombo,7.24,Customer Visit,30,14.48406,Tuesday,Morning
2025-02-16,12,39,2025-02-16,12,42,Feb,2025,Business,Colombo,Colombo,2.74,Customer Visit,3,54.71756,Tuesday,Morning
2025-02-16,13,43,2025-02-16,13,55,Feb,2025,Business,Colombo,Colombo,2.90,Temporary Site,12,14.48406,Tuesday,Afternoon
2025-02-16,16,34,2025-02-16,17,10,Feb,2025,Business,Colombo,Colombo,9.66,Temporary Site,36,16.0934,Tuesday,Afternoon
2025-02-16,17,17,2025-02-16,17,26,Feb,2025,Business,Colombo,Nugegoda,1.77,Meal/Entertain,9,11.80182667,Tuesday,Afternoon
2025-02-16,17,40,2025-02-16,17,44,Feb,2025,Business,Nugegoda,Unknown Location,5.79,Errand/Supplies,4,86.90436,Tuesday,Afternoon
2025-02-17,13,18,2025-02-17,14,4,Feb,2025,Business,Unknown Location,Colombo,23.66,Temporary Site,46,30.85734522,Wednesday,Afternoon
2025-02-17,15,17,2025-02-17,15,22,Feb,2025,Business,Colombo,Colombo,2.74,Meal/Entertain,5,32.830536,Wednesday,Afternoon
2025-02-17,15,33,2025-02-17,16,17,Feb,2025,Business,Colombo,Katunayaka,34.44,Temporary Site,44,46.96346727,Wednesday,Afternoon
2025-02-17,16,38,2025-02-17,16,43,Feb,2025,Business,Katunayaka,Katunayaka,0.80,Errand/Supplies,5,9.65604,Wednesday,Afternoon
2025-02-18,8,19,2025-02-18,8,27,Feb,2025,Business,Unknown Location,Unknown Location,37.82,Temporary Site,8,283.646175,Thursday,Morning
2025-02-18,14,3,2025-02-18,14,45,Feb,2025,Business,Unknown Location,Islamabad,20.44,Temporary Site,42,29.19802571,Thursday,Afternoon
2025-02-18,15,16,2025-02-18,15,31,Feb,2025,Business,Islamabad,Unknown Location,9.66,Temporary Site,15,38.62416,Thursday,Afternoon
2025-02-18,18,44,2025-02-18,18,58,Feb,2025,Business,Unknown Location,Islamabad,8.37,Customer Visit,14,35.86529143,Thursday,Afternoon
2025-02-18,19,27,2025-02-18,20,8,Feb,2025,Business,Islamabad,Unknown Location,16.09,Meeting,41,23.55131707,Thursday,Evening
2025-02-19,9,2,2025-02-19,9,14,Feb,2025,Business,Unknown Location,Unknown Location,29.45,Meeting,12,147.25461,Friday,Morning
2025-02-19,9,21,2025-02-19,9,51,Feb,2025,Business,Unknown Location,Unknown Location,18.02,Meeting,30,36.049216,Friday,Morning
2025-02-19,10,21,2025-02-19,10,48,Feb,2025,Business,Unknown Location,Islamabad,12.23,Meeting,27,27.17996444,Friday,Morning
2025-02-19,11,20,2025-02-19,11,26,Feb,2025,Personal,Islamabad,Islamabad,2.41,Meeting,6,24.1401,Friday,Morning
2025-02-19,11,45,2025-02-19,11,50,Feb,2025,Personal,Islamabad,Islamabad,1.61,Meeting,5,19.31208,Friday,Morning
2025-02-19,12,9,2025-02-19,12,27,Feb,2025,Business,Islamabad,Unknown Location,11.75,Temporary Site,18,39.16060667,Friday,Morning
2025-02-19,16,26,2025-02-19,16,45,Feb,2025,Business,Unknown Location,Islamabad,5.63,Temporary Site,19,17.78744211,Friday,Afternoon
2025-02-19,17,9,2025-02-19,17,20,Feb,2025,Business,Islamabad,Islamabad,6.76,Temporary Site,11,36.86851636,Friday,Afternoon
2025-02-19,20,8,2025-02-19,20,30,Feb,2025,Personal,Islamabad,Unknown Location,21.89,Temporary Site,22,59.69188364,Friday,Evening
2025-02-19,20,34,2025-02-19,20,51,Feb,2025,Personal,Unknown Location,Unknown Location,4.02,Temporary Site,17,14.20005882,Friday,Evening
2025-02-20,7,59,2025-02-20,8,32,Feb,2025,Personal,Unknown Location,Islamabad,23.17,Temporary Site,33,42.13544727,Saturday,Morning
2025-02-20,10,48,2025-02-20,10,56,Feb,2025,Personal,Islamabad,Islamabad,4.83,Temporary Site,8,36.21015,Saturday,Morning
2025-02-20,11,45,2025-02-20,11,53,Feb,2025,Personal,Islamabad,Islamabad,2.41,Temporary Site,8,18.105075,Saturday,Morning
2025-02-20,12,41,2025-02-20,13,17,Feb,2025,Business,Islamabad,R?walpindi,29.61,Temporary Site,36,49.35309333,Saturday,Morning
2025-02-20,14,50,2025-02-20,15,54,Feb,2025,Business,R?walpindi,R?walpindi,37.18,Meeting,64,34.85226938,Saturday,Afternoon
2025-02-20,16,59,2025-02-20,17,54,Feb,2025,Personal,R?walpindi,Unknown Location,26.55,Meeting,55,28.96812,Saturday,Afternoon
2025-02-20,18,0,2025-02-20,18,3,Feb,2025,Business,Unknown Location,Unknown Location,5.15,Errand/Supplies,3,102.99776,Saturday,Afternoon
2025-02-20,19,28,2025-02-20,19,49,Feb,2025,Business,Unknown Location,Unknown Location,12.39,Errand/Supplies,21,35.40548,Saturday,Evening
2025-02-21,9,7,2025-02-21,9,46,Feb,2025,Business,Unknown Location,Islamabad,23.34,Errand/Supplies,39,35.90066154,Sunday,Morning
2025-02-21,11,39,2025-02-21,11,43,Feb,2025,Business,Unknown Location,Islamabad,3.86,Errand/Supplies,4,57.93624,Sunday,Morning
2025-02-21,11,47,2025-02-21,12,1,Feb,2025,Business,Islamabad,Islamabad,7.40,Errand/Supplies,14,31.72698857,Sunday,Morning
2025-02-21,12,13,2025-02-21,12,35,Feb,2025,Business,Islamabad,Unknown Location,14.16,Meal/Entertain,22,38.62416,Sunday,Morning
2025-02-21,12,51,2025-02-21,13,12,Feb,2025,Business,Unknown Location,Unknown Location,13.36,Temporary Site,21,38.16434857,Sunday,Morning
2025-02-21,13,33,2025-02-21,14,30,Feb,2025,Business,Unknown Location,Unknown Location,36.53,Temporary Site,57,38.45475579,Sunday,Afternoon
2025-02-21,14,36,2025-02-21,15,3,Feb,2025,Business,Unknown Location,Islamabad,20.92,Temporary Site,27,46.49204444,Sunday,Afternoon
2025-02-21,15,14,2025-02-21,15,31,Feb,2025,Business,Islamabad,Noorpur Shahan,13.04,Temporary Site,17,46.00819059,Sunday,Afternoon
2025-02-21,15,36,2025-02-21,15,41,Feb,2025,Business,Noorpur Shahan,Unknown Location,3.54,Meal/Entertain,5,42.486576,Sunday,Afternoon
2025-02-21,16,4,2025-02-21,16,32,Feb,2025,Business,Unknown Location,Unknown Location,15.61,Meal/Entertain,28,33.45128143,Sunday,Afternoon
2025-02-21,23,15,2025-02-21,23,52,Feb,2025,Business,Unknown Location,R?walpindi,32.19,Meeting,37,52.19481081,Sunday,Evening
2025-02-22,21,54,2025-02-22,22,9,Feb,2025,Business,Morrisville,Cary,13.04,Customer Visit,15,52.142616,Monday,Evening
2025-02-24,14,30,2025-02-24,14,35,Feb,2025,Business,Whitebridge,Preston,2.41,Customer Visit,5,28.96812,Wednesday,Afternoon
2025-02-24,15,19,2025-02-24,15,25,Feb,2025,Business,Preston,Whitebridge,2.74,Errand/Supplies,6,27.35878,Wednesday,Afternoon
2025-02-25,16,27,2025-02-25,16,35,Feb,2025,Business,Whitebridge,Heritage Pines,4.99,Errand/Supplies,8,37.417155,Thursday,Afternoon
2025-02-25,16,47,2025-02-25,17,2,Feb,2025,Business,Heritage Pines,Whitebridge,5.15,Errand/Supplies,15,20.599552,Thursday,Afternoon
2025-02-25,17,16,2025-02-25,17,36,Feb,2025,Business,Whitebridge,Tanglewood,9.66,Meal/Entertain,20,28.96812,Thursday,Afternoon
2025-02-25,18,22,2025-02-25,18,39,Feb,2025,Business,Tanglewood,Whitebridge,9.33,Meal/Entertain,17,32.94413647,Thursday,Afternoon
2025-02-26,9,6,2025-02-26,9,29,Feb,2025,Business,Whitebridge,Westpark Place,10.14,Meal/Entertain,23,26.44915304,Friday,Morning
2025-02-26,11,5,2025-02-26,11,11,Feb,2025,Personal,Westpark Place,Whitebridge,2.74,Meal/Entertain,6,27.35878,Friday,Morning
2025-02-26,11,35,2025-02-26,11,59,Feb,2025,Business,Cary,Durham,17.06,Meeting,24,42.64751,Friday,Morning
2025-02-26,13,1,2025-02-26,13,24,Feb,2025,Business,Durham,Cary,15.93,Meeting,23,41.56295478,Friday,Afternoon
2025-02-26,14,38,2025-02-26,14,46,Feb,2025,Personal,Whitebridge,Westpark Place,3.06,Meeting,8,22.933095,Friday,Afternoon
2025-02-26,15,0,2025-02-26,15,18,Feb,2025,Personal,Westpark Place,Hazelwood,6.76,Meeting,18,22.53076,Friday,Afternoon
2025-02-26,17,1,2025-02-26,17,12,Feb,2025,Personal,Hazelwood,Whitebridge,3.22,Meeting,11,17.55643636,Friday,Afternoon
2025-02-28,5,22,2025-02-28,5,38,Feb,2025,Business,Whitebridge,Waverly Place,12.39,Meeting,16,46.4696925,Sunday,Night
2025-02-28,9,26,2025-02-28,9,42,Feb,2025,Business,Waverly Place,Whitebridge,10.94,Meeting,16,41.03817,Sunday,Morning
2025-03-01,11,7,2025-03-01,11,14,Feb,2025,Personal,Whitebridge,Westpark Place,3.38,Meeting,7,28.96812,Monday,Morning
2025-03-01,11,30,2025-03-01,11,40,Feb,2025,Business,Cary,Apex,6.12,Meeting,10,36.692952,Monday,Morning
2025-03-01,12,36,2025-03-01,12,48,Feb,2025,Business,Apex,Cary,9.01,Meeting,12,45.06152,Monday,Morning
2025-03-01,14,55,2025-03-01,15,3,Feb,2025,Business,Whitebridge,Hazelwood,4.18,Meeting,8,31.38213,Monday,Afternoon
2025-03-01,16,40,2025-03-01,17,0,Feb,2025,Business,Hazelwood,Whitebridge,10.62,Customer Visit,20,31.864932,Monday,Afternoon
2025-03-01,18,47,2025-03-01,19,10,Mar,2025,Business,Whitebridge,Wayne Ridge,12.87,Meal/Entertain,23,33.58622609,Tuesday,Afternoon
2025-03-01,21,27,2025-03-01,21,45,Mar,2025,Business,Wayne Ridge,Whitebridge,12.87,Meeting,18,42.91573333,Tuesday,Evening
2025-03-03,9,45,2025-03-03,9,52,Mar,2025,Personal,Whitebridge,Westpark Place,3.54,Meeting,7,30.34755429,Thursday,Morning
2025-03-03,11,4,2025-03-03,11,10,Mar,2025,Business,Westpark Place,Whitebridge,3.70,Errand/Supplies,6,37.01482,Thursday,Morning
2025-03-03,14,44,2025-03-03,14,58,Mar,2025,Business,Whitebridge,Northwoods,8.37,Meal/Entertain,14,35.86529143,Thursday,Afternoon
2025-03-03,15,27,2025-03-03,15,48,Mar,2025,Business,Cary,Raleigh,12.23,Customer Visit,21,34.94566857,Thursday,Afternoon
2025-03-03,16,2,2025-03-03,16,42,Mar,2025,Business,Raleigh,Cary,27.84,Meeting,40,41.762373,Thursday,Afternoon
2025-03-04,7,47,2025-03-04,8,6,Mar,2025,Business,Cary,Durham,15.93,Meeting,19,50.31305053,Friday,Morning
2025-03-04,9,46,2025-03-04,10,3,Mar,2025,Business,Durham,Cary,15.93,Customer Visit,17,56.23223294,Friday,Morning
2025-03-04,11,46,2025-03-04,12,6,Mar,2025,Business,Cary,Durham,16.74,Meeting,20,50.211408,Friday,Morning
2025-03-04,13,3,2025-03-04,13,25,Mar,2025,Business,Durham,Cary,17.54,Meeting,22,47.84128909,Friday,Afternoon
2025-03-04,13,40,2025-03-04,14,9,Mar,2025,Business,Cary,Raleigh,25.27,Customer Visit,29,52.27580276,Friday,Afternoon
2025-03-04,15,56,2025-03-04,16,8,Mar,2025,Business,Raleigh,Raleigh,7.89,Meal/Entertain,12,39.42883,Friday,Afternoon
2025-03-04,16,16,2025-03-04,16,22,Mar,2025,Business,Fayetteville Street,Depot Historic District,1.29,Errand/Supplies,6,12.87472,Friday,Afternoon
2025-03-04,16,43,2025-03-04,17,12,Mar,2025,Business,Raleigh,Cary,21.73,Meeting,29,44.95053103,Friday,Afternoon
